Role,Median Salary,Education Recquired,# of Jobs,Job Outlook,Employment Change,Rank
Data Scientist ,"$108,020",Bachelor's,"202,900",36%,"73,100",4
Management Analyst,"$99,410",Bachelor's,"1,018,300",11%,"107,900",1
Sales Managers,"$135,160",Bachelor's,"584,800",6%,"34,300",2
Sales Engineers,"$116,950",Bachelor's,"59,700",6%,"3,700",3
Financial Analyst,"$99,890",Bachelor's,"404,800",9%,"37,900",7
Economist,"$115,730",Master's,"17,500",5%,900,6
Budget Analyst,"$84,940",Bachelor's,"50,800",4%,"2,000",8
Operations Research Analyst,"$83,640",Bachelor's,"123,300",23%,"28,300",5
,,,,,,
"Something that surprises me is how fast the role of operations research analyst is growing. It's not common to see percentages greater than 10%. I expected the data scientist role to have a greater percentage of growth, but I did not expect that from this role because I have not really heard much of it. I also am surprised that not many roles require a Master's degree. I feel like a lot of people have emphasized the importance of pursuing education past your undergrad/bachelor's, but I'm now doubting if that is very necessary. ",,,,,,
,,,,,,
"I ranked my jobs in this order with the three most important criteria in mind being: salary, job outlook, and personal preference. My lower ranked jobs might have higher salary and job outlook, but in all honesty I would not want to work in a boring office setting with my life revolving around numbers and graphs. ",,,,,,
